Cement,Fine aggregate,Coarse aggregate,Water,Water-binder ratio,Superplasticizer,Fly ash,Silica fume,Blast furnace slag,Cl content in seawater,Annual temperature,Exposure time,Tidal zone,Splash zone,Submerged zone,Surface chloride concentration
300,822,1131,150,0.5,0,0,0,0,18.5,16.8,0.5,1,0,0,0.29
300,822,1131,150,0.5,0,0,0,0,18.5,16.8,0.75,1,0,0,0.37
300,822,1131,150,0.5,0,0,0,0,18.5,16.8,1,1,0,0,0.36
300,822,1131,150,0.5,0,0,0,0,18.5,16.8,1.25,1,0,0,0.43
300,822,1131,150,0.5,0,0,0,0,18.5,16.8,1.5,1,0,0,0.45
300,822,1131,150,0.5,0,0,0,0,18.5,16.8,2,1,0,0,0.46
300,822,1131,150,0.5,0,0,0,0,18.5,16.8,2.5,1,0,0,0.55
300,822,1131,150,0.5,0,0,0,0,18.5,16.8,3,1,0,0,0.59
478,639,1024,215,0.45,0,0,0,0,17,30,2,1,0,0,0.689813243
478,639,1024,215,0.45,0,0,0,0,17,30,3,1,0,0,1.014431239
478,639,1024,215,0.45,0,0,0,0,17,30,4,1,0,0,1.115874363
478,639,1024,215,0.45,0,0,0,0,17,30,5,1,0,0,1.217317487
478,639,971,262,0.55,0,0,0,0,17,30,2,1,0,0,0.813617021
478,639,971,262,0.55,0,0,0,0,17,30,3,1,0,0,0.956
478,639,971,262,0.55,0,0,0,0,17,30,4,1,0,0,1.017021277
478,639,971,262,0.55,0,0,0,0,17,30,5,1,0,0,1.220425532
478,639,922,311,0.65,0,0,0,0,17,30,2,1,0,0,0.854297872
478,639,922,311,0.65,0,0,0,0,17,30,3,1,0,0,1.057702128
478,639,922,311,0.65,0,0,0,0,17,30,4,1,0,0,1.159404255
478,639,922,311,0.65,0,0,0,0,17,30,5,1,0,0,1.261106383
406,639,1024,215,0.45,0,72,0,0,17,30,2,1,0,0,0.97385399
406,639,1024,215,0.45,0,72,0,0,17,30,3,1,0,0,1.115874363
406,639,1024,215,0.45,0,72,0,0,17,30,4,1,0,0,1.176740238
406,639,1024,215,0.45,0,72,0,0,17,30,5,1,0,0,1.318760611
406,639,948,262,0.55,0,72,0,0,17,30,2,1,0,0,0.944907606
406,639,948,262,0.55,0,72,0,0,17,30,3,1,0,0,1.150322303
406,639,948,262,0.55,0,72,0,0,17,30,4,1,0,0,1.232488182
406,639,948,262,0.55,0,72,0,0,17,30,5,1,0,0,1.437902879
406,639,898,311,0.65,0,72,0,0,17,30,2,1,0,0,1.08916595
406,639,898,311,0.65,0,72,0,0,17,30,3,1,0,0,1.335769561
406,639,898,311,0.65,0,72,0,0,17,30,4,1,0,0,1.417970765
406,639,898,311,0.65,0,72,0,0,17,30,5,1,0,0,1.500171969
359,639,990,215,0.45,0,119,0,0,17,30,2,1,0,0,0.988113695
